event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
will-microstrategy-announce-a-bitcoin-purchase-may-19-25,Will Microstrategy announce a Bitcoin purchase May 19-25?,crypto,microstrategy|weekly|recurring|crypto,2026-05-26T04:00:00Z,5,2026-05-18T04:42:23.671106Z,1,1,17045.13,39606.96,7719.35,27045.93,0.871,0,will-microstrategy-announce-a-bitcoin-purchase-may-19-25,0x5ab07ea1b972f81ccda0c19876f05cdab4c6bf1308fb81fa24601183d090cb48,"This market will resolve to ""Yes"" if MicroStrategy Incorporated announces that they have acquired additional Bitcoin between the dates in the title (from 12:00 AM ET on the first date to 11:59 PM ET on the last date). Otherwise, it will resolve to ""No"". This market will resolve based on announcement",https://polymarket.com/event/will-microstrategy-announce-a-bitcoin-purchase-may-19-25
microstrategy-announces-1000-btc-purchase-may-19-25,MicroStrategy announces >1000 BTC purchase May 19-25?,crypto,microstrategy|weekly|recurring|crypto,2026-05-26T04:00:00Z,5,2026-05-18T04:46:16.789697Z,1,1,857.96,4713.10,5611.71,3105.78,0.850,0,microstrategy-announces-1000-btc-purchase-may-19-25,0xd5f5036584ccb6e15ef6963a98dfde63771107bf75bc3fbe8d2a06da06d18d16,"This market will resolve to ""Yes"" if MicroStrategy announces a purchase of more Bitcoin than the number specified in the title between the dates in the title (from 12:00 AM ET on the first date to 11:59 PM ET on the last date). Otherwise, this market will resolve to ""No"". This market will resolve ba",https://polymarket.com/event/microstrategy-announces-1000-btc-purchase-may-19-25
what-market-cap-will-strc-reach-by-june-30,What market cap will STRC reach by June 30?,crypto,crypto|microstrategy|strc,2026-07-01T04:00:00Z,41,2026-04-21T21:39:40.378275Z,3,3,67.18,27660.14,4866.15,13020.46,0.941,1,will-strc-market-cap-hit-12b-by-june-30|will-strc-market-cap-hit-14b-by-june-30|will-strc-market-cap-hit-16b-by-june-30,0xb148dc500d9df491ef83bea1b0778c7cd59a00e8073a2529cda3b9b5721ca1ad|0x86aa00395a522fe93e875112ed14474015a62753eee397af0a655c46534276bc|0xc8b2d50435e1b8342f093fb882b7669eb7d90a52a887eb6010ae8e236477778d,"This market will resolve to “Yes” if the STRC market cap is equal to or greater than the value specified in the title at any point between the creation of this market and June 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No.” The value used for resolution will be the “Market Cap ($",https://polymarket.com/event/what-market-cap-will-strc-reach-by-june-30
will-microstrategy-announce-bankruptcy-before-2027,Will MicroStrategy announce bankruptcy before 2027?,crypto,tech|business|finance|crypto|bitcoin,2026-12-31T00:00:00Z,224,2025-11-12T22:11:31.111467Z,1,1,757.51,145901.87,14539.80,16662.37,0.850,2,will-microstrategy-announce-bankruptcy-before-2027,0x618179e144fb28458cbad29f2b30ea212dfbf9907bcfdf5d41e869aa0f085b51,"This market will resolve to ""Yes"" if MicroStrategy announces that it will file for bankruptcy or has filed for bankruptcy of any variety by December 31, 2026, 11:59 PM ET. An announcement will suffice for a ""Yes"" resolution, regardless of if or when the actual filing occurs. The announcement must be",https://polymarket.com/event/will-microstrategy-announce-bankruptcy-before-2027
will-openai-launch-a-token-before-2027,Will OpenAI launch a token before 2027?,crypto,tech|openai|ai|big-tech|crypto|token-launch,2026-12-31T00:00:00Z,224,2025-11-12T22:22:58.099662Z,1,1,33.80,3508.25,3269.34,1200.50,0.837,0,will-openai-launch-a-token-before-2027,0x1f94211f6fa197e6694cf2b287debfade815a8bf2d53bbe918296992d429cdca,"This market will resolve to ""Yes"" if OpenAI officially launches a token by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"". The token must be publicly announced and transferable on a blockchain. The resolution source will be public announcements from OpenAI.",https://polymarket.com/event/will-openai-launch-a-token-before-2027
bitcoin-more-valuable-than-any-company-before-2027,Bitcoin more valuable than any company before 2027?,crypto,bitcoin|crypto|big-tech|tech,2026-12-31T00:00:00Z,224,2025-11-12T22:22:56.265803Z,1,1,0.00,6806.31,1439.71,1476.26,0.837,3,bitcoin-more-valuable-than-any-company-before-2027,0x0faf76440a116c59fad5d43b5859fcaa7bf17b18e0f1175fb021b2507fc36ed6,"This market will resolve to ""Yes"" if, at any point between November 11, 2025 and December 31, 2026 at 11:59 PM ET, the market capitalization of Bitcoin (BTC) exceeds the market capitalization of the largest publicly traded company in the world. Otherwise, the market will resolve to ""No."" Market cap ",https://polymarket.com/event/bitcoin-more-valuable-than-any-company-before-2027
which-companies-announce-bankruptcy-before-2027,Which companies announce bankruptcy before 2027?,crypto,business|crypto|finance|tech|bitcoin,2026-12-31T00:00:00Z,224,2025-11-21T22:30:55.113109Z,15,14,250.97,191808.58,36520.61,18135.44,0.946,21,will-openai-announce-bankruptcy-before-2027-819-686-981|will-xerox-announce-bankruptcy-before-2027-511-298-531|will-soundhound-ai-announce-bankruptcy-before-2027-744-881-571|will-jetblue-airways-announce-bankruptcy-before-2027-219-161-939|will-lucid-announce-bankruptcy-before-2027-732-585-695|will-anthropic-announce-bankruptcy-before-2027-kuqe-632|will-rivian-announce-bankruptcy-before-2027-396-969-235|will-lovable-announce-bankruptcy-before-2027-725-658|will-perplexity-ai-announce-bankruptcy-before-2027-513-763-545|will-microstrategy-announce-bankruptcy-before-2027-666|will-irobot-announce-bankruptcy-before-2027-836-195-544-548-927|will-c3ai-announce-bankruptcy-before-2027-272-269-675-414-351-737|will-beyond-meat-announce-bankruptcy-before-2027-859-613-462-581-119|will-workhorse-announce-bankruptcy-before-2027-596-468-177-494-196-581|will-carvana-announce-bankruptcy-before-2027,0x78317a8e1f53e5da44926cd52d0fcad1b32fa13085e843ee2d1e75d6ae299045|0xb40d75cef495ea643cb075b2a37f96abe3e1c208afbbe6b5e08feb667814191f|0x90e31c6c510cd523a45c6de9771ee47ed7e5a8a24585ca7abf9ea20f9f357e5d|0x1153d31ded5fc1376b76f6bef55541eea123808af3a2a4235e4e912ed455dc40|0xfb037f25bd5c9a5854438de4aba47636d5d98930cef104ca1f2d3840f00c1a37|0x7b042404794ea1ad15789e959e854973c324fc798ace16824f28aa6b7d745317|0xe33fc14e23f7a6fd771119e9136a1b3ff198aa2f2ca2a1c458ba0c92f19a1885|0x3b148212ad6bc28733c72a1670ede3d06ba468c7afdc9769a96b154dd9bda5e7|0x26e8d0bee0a23b92a89f1ce45ae5585ce78d845b526eed5da4eecbe855cc7083|0xef4450a0de3206fe6bcdf210e3ffe0e220a8a264a6cf6004fee3de236a1fa42b|0xf975f70ef9497f1b7c1e0406e57890aa1416ebc1c56fbab7c2c58385f563e308|0x90ec7b973fe26d67cc057a0a27ead8f7bc3a206f477a7b65fc82a0dbcc0ac96b|0x3b0a46c8c275bba4b392332b87408219c9b3faaa0c9f89c3db8650aa5e1a6e6e|0x28c2427adaa725c391ba431f2dc88c91e06c91cd0ab59a6fc6e5a756c6f48f97|0x59078030ca6aec7f665381d02e705ee44b5d5bed8789a8812898df488acc75e0,"This market will resolve to ""Yes"" if the listed company announces that it will file for bankruptcy or has filed for bankruptcy of any variety by December 31, 2026, 11:59 PM ET. An announcement will suffice for a ""Yes"" resolution, regardless of whether or not the actual filing occurs. The announcemen",https://polymarket.com/event/which-companies-announce-bankruptcy-before-2027
will-bitcoin-replace-sha-256-before-2027,Will Bitcoin replace SHA-256 before 2027?,crypto,crypto|bitcoin|science|quantum,2026-12-31T00:00:00Z,224,2025-11-26T00:22:27.05574Z,1,1,786.00,182681.22,7300.26,16592.68,0.834,12,will-bitcoin-replace-sha-256-before-2027,0xf3233a75da0de4e80c3de26ca3ff74c3c69a7d77f137bf5ff425224574c1db94,"On December 9, Google introduced Willow, a breakthrough state-of-the-art quantum chip. This achievement fueled speculation that Bitcoin's encryption may be vulnerable to quantum computers in the not-so-distant future (see https://www.cryptoglobe.com/latest/2024/12/does-googles-new-quantum-chip-willo",https://polymarket.com/event/will-bitcoin-replace-sha-256-before-2027
bitcoin-vs-gold-vs-sp-500-in-2026,Bitcoin vs. Gold vs. S&P 500 in 2026,crypto,finance|crypto|bitcoin|commodities|spx|s-p-500,2026-12-31T00:00:00Z,224,2025-12-22T17:42:16.778437Z,3,3,426.29,801333.94,71641.57,80773.40,0.987,17,will-bitcoin-have-the-best-performance-in-2026-749|will-gold-have-the-best-performance-in-2026-873|will-the-sp-500-have-the-best-performance-in-2026-545,0xb276435811dc77171602f790db2b5900e780adfadb7cff57e547d58fb1a8215f|0x23db4bef50396fe700d23cb2eaa7d726da9280f7ce3ecd54126a976e9591c7bf|0x5290e1debd1d164f7828f32c9da7747018462293928a8624e27a070b7255f1f1,"This market will resolve according to the asset which has the best performance in 2026 among Bitcoin, Gold, and the S&P 500 with performance measured as the percentage change in price during the year for each asset. The percentage change in price for Bitcoin will be calculated by comparing the ""Clos",https://polymarket.com/event/bitcoin-vs-gold-vs-sp-500-in-2026
nothing-ever-happens-satoshi-nakamoto,Nothing Ever Happens: Satoshi Nakamoto,crypto,crypto|epstein|parlays|culture|satoshi,2026-12-31T00:00:00Z,224,2026-02-11T20:15:49.034992Z,1,1,0.00,8513.07,5728.06,2684.37,0.844,4,nothing-ever-happens-satoshi-nakamoto,0xb00e791c299299858a0e333a31b841f51038e6f14321f25eba03c41a5b6f58f7,"This market will resolve to “Something” if any of the following conditions are met between market creation and December 31, 2026, 11:59 PM ET: - Satoshi moves any Bitcoin - Epstein confirmed to be Satoshi Otherwise, this market will resolve to “Nothing”. 1. Satoshi moves any Bitcoin This market will",https://polymarket.com/event/nothing-ever-happens-satoshi-nakamoto
