event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
bank-of-israel-decision-in-may,Bank of Israel Decision in May?,economy,economy|interest-rate|global-rates|israel|boi,2026-05-25T00:00:00Z,4,2026-02-25T16:27:55.653191Z,3,3,181.25,43212.98,9252.77,6924.20,0.977,0,will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-may-decision|will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-may-decision|will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-may-decision,0x612771bf9aad18aca14d3013e05a51011493a5a740e8f744b4967c7462fb5b81|0x430c82b739789b90fd5f95929d03223f332808122327c8b69424793a5bad3daf|0x47381a493e81772f69e695d4de92695602eb353caa4a7a3bbf3b5df2ffa7ec74,"This market will resolve according to the change in the Bank of Israel Interest Rate resulting from the Bank of Israel’s May monetary policy decision, relative to the level it was prior to this decision. The resolution source for this market is information released by the Bank of Israel after its Ma",https://polymarket.com/event/bank-of-israel-decision-in-may
south-african-reserve-bank-decision-in-may,South African Reserve Bank Decision in May?,economy,south-africa|global-rates|interest-rate|economy,2026-05-28T00:00:00Z,7,2026-01-31T00:08:02.838327Z,3,3,1050.71,11718.39,6106.55,3497.72,0.934,0,will-the-south-african-reserve-bank-make-no-change-to-the-repo-rate-after-the-may-meeting|will-the-south-african-reserve-bank-decrease-the-repo-rate-after-the-may-meeting|will-the-south-african-reserve-bank-increase-the-repo-rate-after-the-may-meeting,0xaefa1b3071d946da2c02fde8ad680e5f85e3bf02c84348ff45505ed3a6e2f83c|0x4d8d101f6b029a6c2150a3ac45652800a99bcaba29bde12ed57729de330da177|0xd37d3800cab12ece646729232fc27c6b94d5aca8dc219c47f18b0eb2cdf9b7a9,"This market will resolve according to the change in the repo rate resulting from the South African Reserve Bank’s May Monetary Policy Committee meeting, relative to the level it was prior to this meeting. The resolution source for this market is information released by the South African Reserve Bank",https://polymarket.com/event/south-african-reserve-bank-decision-in-may
brazil-gdp-growth-in-q1-2026,Brazil GDP Growth in Q1 2026?,economy,macro-indicators|economy|gdp|brazil,2026-05-29T00:00:00Z,8,2026-03-23T23:22:10.849384Z,7,7,72.22,21339.60,7735.80,1274.78,0.833,0,will-brazils-q1-2026-gdp-growth-rate-yoy-be-between-1pt1-and-1pt4|will-brazils-q1-2026-gdp-growth-rate-yoy-be-between-1pt5-and-1pt8|will-brazils-q1-2026-gdp-growth-rate-yoy-be-at-least-2pt7|will-brazils-q1-2026-gdp-growth-rate-yoy-be-less-than-0pt7|will-brazils-q1-2026-gdp-growth-rate-yoy-be-between-1pt9-and-2pt2|will-brazils-q1-2026-gdp-growth-rate-yoy-be-between-0pt7-and-1pt0|will-brazils-q1-2026-gdp-growth-rate-yoy-be-between-2pt3-and-2pt6,0xf05752f4e995d3f867886338223dccba0aa924973a69c0f1a09c2b79aaa4f417|0xfda858216120c9224a3c98df14a24e4dee4168a9c01664b64122dc6ebc022f67|0xf1d4693f06745e15c30c382c7448ab77d08b128dfc76067ef596ab23807a47b9|0xa110090e00b35b4491cf88010fc27306353029900b1a8776c6e224d5edc6d095|0x2140b4ef272260b2b04067db20f4ab5753c33af1ff013ea7846293711f150f90|0x51314a1de815da4595f89c6c96bfb2405cdf26e09fb05ea9deb66ebf8d5f89c8|0xeae5059f8501d3b33e6c2f14d73edb7000f33d50b8148021286f956ab6b2b17d,"This market will resolve according to Brazil’s gross domestic product growth rate compared to the same quarter of the previous year (GDP at market prices, %) in the 1st quarter of 2026, as reported by the Instituto Brasileiro de Geografia e Estatística’s (IBGE) System of Quarterly National Accounts ",https://polymarket.com/event/brazil-gdp-growth-in-q1-2026
will-usd-hit-iranian-rials-by-may-31,Will USD hit ___ Iranian rials by May 31?,economy,exchange-rate|bank|usd|iran|economy|middle-east,2026-05-31T00:00:00Z,10,2026-04-30T19:26:44.768447Z,6,5,3788.37,98263.03,10651.69,23134.73,0.981,0,will-usd-reach-2pt0m-iranian-rials-by-may-31|will-usd-reach-1pt8m-iranian-rials-by-may-31|will-usd-fall-to-1pt6m-iranian-rials-by-may-31|will-usd-reach-1pt9m-iranian-rials-by-may-31|will-usd-fall-to-1pt7m-iranian-rials-by-may-31|will-usd-fall-to-1pt5m-iranian-rials-by-may-31,0x73e599a5a987ee9f739d1634d89aef38f55571e64630edf8a3b71f7d428583ea|0x877ce422a88ce926adc5732a5d961d225f3dc524a1d4eb3cc83f87846e533d7a|0xf96d3cbe677cc4c4c89f31c5f45403b5ccd5c3e6291ddfc440500979db62c9e6|0xf08efdf84d24228967df34cad753244b543af9df38799c0a965658ac8f2d5c13|0x82328689cf7f76da4029df8671057b126ca33334d7a05ef71924f5973d42ee4d|0x38ff830f3bb3d53ce004f19a0ba4d1b2fd21720915fd5e3a70881c51a4c731e4,"This market will resolve to “Yes” if the finalized USD exchange rate on Bonbast is equal to or above the specified price for any day between market creation and May 31, 2026. Otherwise, this market will resolve to “No”. This market will resolve according to the daily finalized free-market USD exchan",https://polymarket.com/event/will-usd-hit-iranian-rials-by-may-31
peoples-bank-of-china-rate-change-in-may,People's Bank of China rate change in May?,economy,global-rates|economy|pbc|china|all|pboc,2026-05-31T00:00:00Z,10,2026-04-30T00:04:49.338236Z,3,3,15.95,6630.00,9169.43,4283.68,0.810,0,will-the-peoples-bank-of-china-increase-rates-in-may|will-the-peoples-bank-of-china-decrease-rates-in-may|will-the-peoples-bank-of-china-not-change-rates-in-may,0x110e27034cdc8deeabe43ba69f39315fb62bd070bd55ae2e78c43685c55ef2bf|0x4ea08c9322e4d82a92ab91e39194fce7249c8997fd32c24cb05817dfd0db146e|0xfdf29434097572169cb64cfe8b638956022a68544fffe0820854568bb52c18b3,"This market will resolve according to the first change made to the People’s Bank of China (PBoC) 7-day reverse repo rate between May 1 and May 31, 2026, 11:59 PM China Standard Time (CST). An “increase” refers to any change in the 7-day reverse repo rate to a level higher than the most recent effect",https://polymarket.com/event/peoples-bank-of-china-rate-change-in-may
what-will-the-median-home-value-in-miami-be-on-may-31,What will the median home value in Miami be on May 31?,economy,economy|parcl|real-estate|housing,2026-05-31T00:00:00Z,10,2026-05-04T22:18:35.910512Z,7,7,0.00,673.88,309.44,361.61,0.995,1,will-the-median-home-value-in-miami-be-between-1136000-and-1161000-on-may-31|will-the-median-home-value-in-miami-be-between-1186000-and-1211000-on-may-31|will-the-median-home-value-in-miami-be-between-1236000-and-1261000-on-may-31|will-the-median-home-value-in-miami-be-less-than-1136000-on-may-31|will-the-median-home-value-in-miami-be-between-1161000-and-1186000-on-may-31|will-the-median-home-value-in-miami-be-between-1211000-and-1236000-on-may-31|will-the-median-home-value-in-miami-be-greater-than-1286000-on-may-31,0x703db8f0938e44e3be7bcd8590e079cf344c84cf6ecb22ab2a7ec9fa6689e926|0xb0f4b43cb98a196e834bdfdf667986984e75c7ad21b51513fd538e2b37d57caf|0x9d0832383b7c2dccea9185350999ceebe98f22bb65b927cb008b54e72ae6799d|0x08dce5f0aab9ca45d385571d6f4704a3834215de5b3bba5b66aa23313ad96a5c|0xab0c227e6d8b67a095e1970f36a0316407cbdb93750b345a8b9e6fab54849350|0x93f8ef6a52c04161a75bd88bee1bce45027c18f056d428c3cdf1ce104fa8f996|0x8f12defbc8224013c42ea25d1f4fe78d287de01211c5343f82a631f2ad1a4427,"This market will resolve according to the median home value for all property types in Miami, Florida on May 31, 2026. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source will be official data from the Parcl Labs S",https://polymarket.com/event/what-will-the-median-home-value-in-miami-be-on-may-31
what-will-the-median-home-value-in-the-los-angeles-metro-area-be-on-may-31,What will the median home value in the Los Angeles Metro area be on May 31?,economy,housing|parcl|economy|real-estate,2026-05-31T00:00:00Z,10,2026-05-04T22:22:11.682095Z,7,7,6.74,626.43,765.53,537.92,0.960,2,will-the-median-home-value-in-the-los-angeles-metro-area-be-less-than-1166000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-between-1173000-and-1180000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-between-1187000-and-1194000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-greater-than-1209000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-between-1166000-and-1173000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-between-1180000-and-1187000-on-may-31|will-the-median-home-value-in-the-los-angeles-metro-area-be-between-1194000-and-1209000-on-may-31,0x3b72b38952503f9c620dbafb8ac97ab2a972b22a46c513567e69d8c2926f3c40|0x4e3f09007e18d2b238b3323ca6683f804c1f42153c29ee6518dee0d51a35881f|0xf01cc7a791cecd48b6b9a0232ace1d30ec53e1cdccdbf73391044ed8acc1f0ea|0x29b1aa4acff8a9a1a6bde5890d7f8f08a107e61d3090147ac1e93c2756506f6c|0x91b8730adc72c5fd2e0ec9c2537e4142c1bdf575a4f68efa6d88b13a8491d98f|0xa207b1b4c0121eb545f4b01d4d671c1a8b323146edb6a672900d273af35e7ba9|0xefcd4634b65ad43c56ca86dcff188f7f3c23f4491cba419aca03740af066bda3,"This market will resolve according to the median home value for all property types in the Los Angeles Metro area on May 31, 2026. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source will be official data from the ",https://polymarket.com/event/what-will-the-median-home-value-in-the-los-angeles-metro-area-be-on-may-31
what-will-the-median-home-value-in-the-us-be-on-may-31,What will the median home value in the US be on May 31?,economy,parcl|real-estate|housing|economy,2026-05-31T00:00:00Z,10,2026-05-04T22:22:17.888878Z,8,8,71.46,830.15,579.24,709.41,0.965,0,will-the-median-home-value-in-the-us-be-less-than-432000-on-may-31|will-the-median-home-value-in-the-us-be-between-434000-and-436000-on-may-31|will-the-median-home-value-in-the-us-be-between-438000-and-440000-on-may-31|will-the-median-home-value-in-the-us-be-between-442000-and-445000-on-may-31|will-the-median-home-value-in-the-us-be-between-432000-and-434000-on-may-31|will-the-median-home-value-in-the-us-be-between-436000-and-438000-on-may-31|will-the-median-home-value-in-the-us-be-between-440000-and-442000-on-may-31|will-the-median-home-value-in-the-us-be-greater-than-445000-on-may-31,0x1e6827b760c93c925c26b88f04bb5f89c2a8ec04b15d13b7bdc31047b1bcd259|0x0c88f6168b8a12048ef8fc8852c2ace5e95ce6a1cf1f5cfb2350e53e0780c15e|0xbd55147c189ff840b15ed8277bb917b2de011e7526a090e9627287998c586ee8|0x7e0cdbec87fdc352a1e0a983c3dcb8bc537de1abb3ebeddd976d52c8c4641398|0x62b553df743e46de41c9260208fc0e6eafcfca1f2d3a7c3cf35d2b24504be532|0xe4b7165d6deae21c2697f4d4af646419e8b2cc82758009e2a920195683e6a2c0|0x64e46c16fb1d1d2c1c821941e3ca4ab8b876b80cfce5fddd0e41aac938bf88a2|0x2e545956294bb0ca46550a37fd680791767208e2753f6f0140fd01fe970cb800,"This market will resolve according to the median home value for all property types in the United States on May 31, 2026. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source will be official data from the Parcl Lab",https://polymarket.com/event/what-will-the-median-home-value-in-the-us-be-on-may-31
what-will-the-median-home-value-in-new-york-city-be-on-may-31,What will the median home value in New York City be on May 31?,economy,parcl|real-estate|economy|housing,2026-05-31T00:00:00Z,10,2026-05-04T22:22:18.495595Z,8,8,23.59,1354.79,251.22,1229.00,0.828,0,will-the-median-home-value-in-new-york-city-be-between-602000-and-607000-on-may-31|will-the-median-home-value-in-new-york-city-be-between-612000-and-617000-on-may-31|will-the-median-home-value-in-new-york-city-be-between-622000-and-627000-on-may-31|will-the-median-home-value-in-new-york-city-be-greater-than-631000-on-may-31|will-the-median-home-value-in-new-york-city-be-less-than-602000-on-may-31|will-the-median-home-value-in-new-york-city-be-between-607000-and-612000-on-may-31|will-the-median-home-value-in-new-york-city-be-between-617000-and-622000-on-may-31|will-the-median-home-value-in-new-york-city-be-between-627000-and-631000-on-may-31,0x9c3fa71d0d7a9de7ab47c18080f0f2b40feaaec0ed911c1a765f24f8edac506f|0x55207f2f10e3c03bd119f6f9a66e7b43cab1b133b84648992ae48ba27e578a29|0x1e28074642b0527d76f3e5e5a999de6d46facbd3b40721008ccffcd48c588b20|0xa40b67e75b1e7289bfac3601fe10824d2dc02624888d4a247aea730071979e0a|0xa1a0703f91d8549f3d11b97a7497c3a2b31934f2645991743bb358f3a9e1a1cf|0xcdb2b844567f509bf2275bf6d602327d6b75f083390ea42543adef6bafdd7baf|0x14da2fd233036ae643f45b5b8d7511e32adcf377fae32530f50d0ae9d3ffb570|0xb04e537cc3f09c7535928a558cb6314bb7b68a509205d8e6e4bbf617191143d8,"This market will resolve according to the median home value for all property types in New York City, New York on May 31, 2026. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source will be official data from the Par",https://polymarket.com/event/what-will-the-median-home-value-in-new-york-city-be-on-may-31
what-will-the-median-home-value-in-the-austin-texas-metro-area-be-on-may-31,"What will the median home value in the Austin, Texas Metro area be on May 31?",economy,economy|parcl|housing|real-estate,2026-05-31T00:00:00Z,10,2026-05-04T22:24:24.679617Z,8,8,30.00,707.17,241.73,326.89,0.839,0,will-the-median-home-value-in-the-austin-texas-metro-area-be-between-472000-and-475000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-between-478000-and-481000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-between-484000-and-487000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-greater-than-492000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-less-than-472000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-between-475000-and-478000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-between-481000-and-484000-on-may-31|will-the-median-home-value-in-the-austin-texas-metro-area-be-between-487000-and-492000-on-may-31,0xbfc487acf46e410d09399567a6400d5e20ab72f791b0b678c5eb877ac93192f7|0x4793c2199bd1117eccc69be709a17bec239d0a535ec159ff9d02f874244422c5|0xff27fe9f6308c15c1f2db9c8797e81fa16738ce0c66ca2ce212542bd7624753a|0x32471272be2e988d8cdc76af7735433cd1d5f84ad0d29afb017a3f4f521e104e|0x08aec001ae276e3445e881b09cda491681f6635650db01a0ba63a9f8f8047390|0x994042c45d6e7474ab314d12e1d89330f75923b235cec836f3f716aa39f6d267|0x1c02b77134a4e96975f5cf1a1670039289eb4a20a8da1b96602871d9b7e9bcd5|0x983023ae4b5386b0569102e4dcb9cb09446fcd4458a0cf484e3dd0d68ac5f5fb,"This market will resolve according to the median home value for all property types in the Austin, Texas Metro area on May 31, 2026. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source will be official data from th",https://polymarket.com/event/what-will-the-median-home-value-in-the-austin-texas-metro-area-be-on-may-31
