event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
how-many-ships-transit-the-strait-of-hormuz-week-of-may-18,How many ships transit the Strait of Hormuz week of May 18?,geopolitics,hormuz|tanker|iran|oil|rewards-50-4-5-20|geopolitics|strait-of-hormuz,2026-05-24T00:00:00Z,3,2026-05-18T19:53:02.324417Z,5,5,12724.86,13682.30,15886.90,6504.15,0.977,0,will-fewer-than-20-ships-transit-the-strait-of-hormuz-between-may-18-may-24|will-20-39-ships-transit-the-strait-of-hormuz-between-may-18-may-24|will-40-59-ships-transit-the-strait-of-hormuz-between-may-18-may-24|will-60-79-ships-transit-the-strait-of-hormuz-between-may-18-may-24|will-80-or-more-ships-transit-the-strait-of-hormuz-between-may-18-may-24,0x9221a5cc6660da21bfb7b36be86f1bd61df5a50196ea6ebdebfa14d257fb714d|0x448067cbd40d6a20f39b6ca24737bfe711059b251f8f7f1663ac8734cc6b9972|0xcf8ac11b1ad18e56052a6f3288696735671e9cb3acaed0760d67943c9897c43f|0x9ebd5cd7a3751fc3e885062ec26d0a0278c30f31859d6ff90b9d747029d25fd3|0xe792bf5dbc70d778674dfe687ef843f16f1c84914e855ae4a87e036a1564a801,"This market will resolve according to the total number of transit calls that IMF Portwatch reports for the Strait of Hormuz for all days from May 18, 2026, through May 24, 2026, inclusive. Transit calls include container, dry bulk, roll-on/roll-off, general cargo, and tanker ships. Ships not reporte",https://polymarket.com/event/how-many-ships-transit-the-strait-of-hormuz-week-of-may-18
will-russia-enter-dobropillia-by-january-31,Will Russia enter Dobropillia by...?,geopolitics,ukraine-map|ukraine|geopolitics,2026-05-31T00:00:00Z,10,2025-12-09T00:39:53.281662Z,5,2,201.02,115290.00,5974.25,3014.40,0.859,101,will-russia-enter-dobropillia-by-january-31|will-russia-enter-dobropillia-by-march-31|will-russia-enter-dobropillia-by-april-30|will-russia-enter-dobropillia-by-may-31|will-russia-enter-dobropillia-by-june-30,0xe1f41fdcedafe02a12a89fd2e2358e8da457229096ff8863640789971478feed|0x6d233524e85d7ad48183c668336ceb84c0c5935afedfa648c4f667cd76d70f4a|0xcd477130ee05b7b441ce7667e5b3931825a411e2ed56efb149fd988e14ff307b|0x3d75d9d770daa68c07e758c47f67eb03f54d6172c42355628568e8ff02b26384|0x3e63b0a9b1af05fb0d5ffcbf13e98b0fb047d80d51e93dab7e6d898f1e5faf1f,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory of Dobropillia by January 31, 2026, at 11:59 PM ET. Territory will be considered captured if any part of Dobropillia is shaded under a below specified layer on the ISW map (https://storymaps.arcgis.com/stor",https://polymarket.com/event/will-russia-enter-dobropillia-by-january-31
will-russia-capture-viroliubivka-by-march-31,Will Russia capture Viroliubivka by...?,geopolitics,geopolitics|ukraine-map|ukraine,2026-05-31T00:00:00Z,10,2026-03-06T18:57:24.477806Z,3,1,0.00,20523.25,2497.55,315.59,0.817,0,will-russia-capture-viroliubivka-by-march-31|will-russia-capture-viroliubivka-by-april-30|will-russia-capture-viroliubivka-by-may-31,0x3b53bc5007391ac339af758e54fb06b224ce9b4e4a7b844ce19dcd64bd8dd26c|0x568a6f104097daa02b0606b209c89835a99888b45ae4abe61c92420a69bd5257|0x98055a1af9301ed9cf054a3988a5ede22cf7f0cb18e08fb97f1bff2235423a06,"This market will resolve to “Yes” if, according to the ISW map, Russia captures the intersection at 48.608982° N, 37.720231° E in Viroliubivka, Donetsk Oblast, by the specified date 11:59 PM ET. The intersection will be considered captured if any part of the intersection is shaded red on the ISW map",https://polymarket.com/event/will-russia-capture-viroliubivka-by-march-31
will-russia-enter-novyi-donbas-by-march-31,Will Russia enter Novyi Donbas by...?,geopolitics,geopolitics|ukraine-map|ukraine,2026-05-31T00:00:00Z,10,2026-03-06T18:59:20.859447Z,4,2,139.74,141514.08,6446.13,27291.51,0.963,4,will-russia-enter-novyi-donbas-by-march-31|will-russia-enter-novyi-donbas-by-april-30|will-russia-enter-novyi-donbas-by-may-31|will-russia-enter-novyi-donbas-by-june-30,0x87f0159837abf86b5bd733eefd1810d7505d9d2ac4a83c6b0de873163dbb3e2a|0xfafd078f403f65a51e71a64f668c7f9262cb207788c7bf72951df27cd2013661|0x5298a3e5e94c53db578af5b5e66b48e41f0b5accb2781776cfa218c43301fd39|0xbf175df87f4cbcbcd65d85866b9e837e0ef1f2d0f1c14b6e01791ec28c3413fa,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory of Novyi Donbas, Donetsk Oblast, (48.450718° N, 37.181238° E) between market creation and the specified date (ET). Territory will be considered captured if any part of the specified territory is shaded unde",https://polymarket.com/event/will-russia-enter-novyi-donbas-by-march-31
will-russia-enter-shevchenko-by-march-31,Will Russia enter Shevchenko by...?,geopolitics,ukraine|geopolitics|ukraine-map,2026-05-31T00:00:00Z,10,2026-03-10T03:17:28.631831Z,4,2,4512.43,52660.08,5940.44,4667.85,0.917,0,will-russia-enter-shevchenko-by-march-31|will-russia-enter-shevchenko-by-april-30|will-russia-enter-shevchenko-by-may-31|will-russia-enter-shevchenko-by-june-30,0xd48c4012ea66185576f67874823bac31f1a85648b2ade879523aad46600c3881|0xa213bae19e682fe507ab9227968e18f88bf8ee194c75d946ecfd50dd8ff87d99|0x999c477e6c9aedeaa28735dc02fe9076f8088a020b2ca329c0acc2d28876c4f4|0x3e314306f5af508143e1f0e7d52de77b2c731b40575360c14ab638cb246e3643,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory of Shevchenko, Donetsk Oblast, (48.384157880601364° N, 37.10809761679785° E) between market creation and the specified date (ET). Territory will be considered captured if any part of the specified territory",https://polymarket.com/event/will-russia-enter-shevchenko-by-march-31
will-russia-enter-svitle-by-march-31,Will Russia enter Svitle by...?,geopolitics,geopolitics|ukraine-map|ukraine,2026-05-31T00:00:00Z,10,2026-03-10T03:17:28.6777Z,4,2,375.81,35884.95,5011.37,3953.71,0.894,0,will-russia-enter-svitle-by-march-31|will-russia-enter-svitle-by-april-30|will-russia-enter-svitle-by-may-31|will-russia-enter-svitle-by-june-30,0x75938b5d271df88e935493bdecda6f271f2d96150560d1435567fd97e889230d|0x1ca4da5850934b7f758958a182a07902a9468632f1509bccfb7bc69bc6e70ad2|0x46ea2e53c079a9b8e2379413eaf1ff7a752e4f79ec5fa472b4cd822d77eb77d5|0x0d41f6afb4963a0f8eb06b7bfe5deef3a89f5486e9cb3f001203c8e1063cb27a,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory of Svitle, Donetsk Oblast, (48.403602° N, 37.117327° E) between market creation and the specified date (ET). Territory will be considered captured if any part of the specified territory is shaded under a be",https://polymarket.com/event/will-russia-enter-svitle-by-march-31
will-russia-enter-krasnoiarske-by-march-31,Will Russia enter Krasnoiarske by...?,geopolitics,ukraine|ukraine-map|geopolitics,2026-05-31T00:00:00Z,10,2026-03-10T03:17:28.539407Z,3,1,167.88,49990.03,3392.79,1044.37,0.828,0,will-russia-enter-krasnoiarske-by-march-31|will-russia-enter-krasnoiarske-by-april-30|will-russia-enter-krasnoiarske-by-may-31,0xdbda258ac1e3844ce6b1d036f222bbc051bd9ac6f023d121b3ad8b16b38f224c|0x5f774c59efc38ce1783e16580583673a54e7a98d948f80262df116600b737b8d|0xbd2a193eba83cf567eec2e0f1754cdea862e6829c89dbc476d7e911ad89e0f33,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory of Krasnoiarske, Donetsk Oblast, (48.419117° N, 37.125165° E) between market creation and the specified date (ET). Territory will be considered captured if any part of the specified territory is shaded unde",https://polymarket.com/event/will-russia-enter-krasnoiarske-by-march-31
will-ukraine-re-enter-obratne-or-temyrivka-by-march-31,Will Ukraine re-enter Obratne or Temyrivka by...?,geopolitics,ukraine|ukraine-map|geopolitics,2026-05-31T00:00:00Z,10,2026-03-10T03:19:26.633938Z,3,1,0.00,20973.50,2164.83,745.63,0.845,2,will-ukraine-re-enter-obratne-or-temyrivka-by-march-31|will-ukraine-re-enter-obratne-or-temyrivka-by-april-30|will-ukraine-re-enter-obratne-or-temyrivka-by-may-31,0x0a36c0f19319b7c013b246688f6326d3c4ba6d7985531331764c32149823837e|0xb4ea9ec1802f6162bd960fc8c6e37c1f5d85b9cb9e58a414bb521afa2bf3ed08|0x50544b83110aca59acedbd292a395140b90caddff597c96ce0f1b5614df6e6bf,"This market will resolve to “Yes” if, according to the ISW map, Ukraine captures any territory of Obratne (47.827331° N, 36.548744° E) or Temyrivka (47.825114° N, 36.570672° E), Zaporizhzhya Oblast, between market creation and the specified date (ET). Territory will be considered captured if any par",https://polymarket.com/event/will-ukraine-re-enter-obratne-or-temyrivka-by-march-31
will-ukraine-re-enter-maliivka-by-march-31,Will Ukraine re-enter Maliivka by...?,geopolitics,geopolitics|ukraine|ukraine-map,2026-05-31T00:00:00Z,10,2026-03-10T03:19:28.127002Z,3,1,0.00,46421.86,1279.09,928.40,0.888,4,will-ukraine-re-enter-maliivka-by-march-31|will-ukraine-re-enter-maliivka-by-april-30|will-ukraine-re-enter-maliivka-by-may-31,0xbe6dbcfa48ba6d9c4a48c62311d2b438d2d160bd6db92d12a67aba685c0a6e6d|0xac66cf30b4c25ff3a2de811f5d2f9ffeabe663f72e8b5dd46c797638903947e0|0x8f999c0b54dce9264ca0c60fd62b48eb53ea343df74c87f4801a2979a31f8c07,"This market will resolve to “Yes” if, according to the ISW map, Ukraine captures any territory of Maliivka, Dnipropetrovsk Oblast, (47.920810° N, 36.618600° E) between market creation and the specified date (ET). Territory will be considered captured if any part of the specified territory is shaded ",https://polymarket.com/event/will-ukraine-re-enter-maliivka-by-march-31
israel-ground-operation-in-iran-confirmed-by,Israel ground operation in Iran confirmed by...?,geopolitics,geopolitics|israel|iran|middle-east|israel-x-iran,2026-05-31T00:00:00Z,10,2026-03-17T21:51:06.538458Z,3,1,3909.97,1233962.88,26500.83,73514.52,0.844,48,will-israel-launch-a-ground-operation-in-iran-by-march-31-2026|will-israel-launch-a-ground-operation-in-iran-by-april-30-2026|will-israel-launch-a-ground-operation-in-iran-by-may-31-2026,0x4c0d19b2918d1193f05cffbd1403e88d817a54d040439fbc1f5e180cd45701a7|0x0b99844286b27cd3eca1764d1699d72be941500be9930450faff1d6f25d0eda0|0x84dbc9b70121e40e84a05a0d3b8c1d3bc2f35d4da87b8082d11c99c58f124891,"This market will resolve to ""Yes"" if participation by Israeli military personnel in a ground operation in Iran on or after February 28, 2026, is confirmed by the specified date, 11:59 PM ET. Otherwise, this market will resolve to “No”. A ""ground operation"" is defined as a military operation that inv",https://polymarket.com/event/israel-ground-operation-in-iran-confirmed-by
