event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
who-will-attend-taylor-swift-and-travis-kelces-wedding,Who will attend Taylor Swift and Travis Kelce's wedding?,nfl,culture|taylor-swift|nfl|music,2026-12-31T00:00:00Z,224,2025-12-16T00:24:32.163899Z,15,15,172.69,254269.09,12438.03,5949.87,0.934,18,will-danielle-haim-attend-taylor-swifts-wedding|will-phoebe-bridgers-attend-taylor-swifts-wedding|will-jared-goff-attend-taylor-swifts-wedding|will-andrew-tate-attend-taylor-swifts-wedding|will-jack-antonoff-attend-taylor-swifts-wedding|will-gracie-abrams-attend-taylor-swifts-wedding|will-patrick-mahomes-attend-taylor-swifts-wedding|will-alana-haim-attend-taylor-swifts-wedding|will-max-martin-attend-taylor-swifts-wedding|will-selena-gomez-attend-taylor-swifts-wedding|will-sabrina-carpenter-attend-taylor-swifts-wedding|will-lana-del-rey-attend-taylor-swifts-wedding|will-blake-lively-attend-taylor-swifts-wedding|will-brittany-mahomes-attend-taylor-swifts-wedding|will-este-haim-attend-taylor-swifts-wedding,0xbc88a1fd20ced1ccf45506178e78261c11ecb45ec0a5a35198156228fa4e1e39|0xb824d3ee954d657e75d8f28b478c52a1b9c740ffa62620fc68c41b89f0942bc4|0xbc1acc2e281d91fc91e52529a46a2e1069b0de1ae63a597cc9515a3ab305212d|0xe0d8bead953983b0743a5f8d1017d61e1be169ada64755672a6cb8550ba5f13a|0x01650214bee3782ba689c78b4a5179c5dbcdd84212c01e872399f14799272cb7|0x9d7fa24b7f45d2c5e6f59f84a5f64f4759a0adb0df212586f0d320a15040f4c9|0x3edaa2ff2a5ec59e98190860dfa46d2baadb852fb21e1a2bf184eec8d216f76c|0xd94b679b3fac09091f0e3a492bcc4fde8aa063d019be7a05833eea14ca844199|0x0d9d760ff17a0e64ff9b67f48893c0b1ae4874cd462ce6c2d38c82e2b9171fda|0xcb7d75e697bfc9e6a30d07ae0a5054922a8f82b444d62a95e9fa4b2d1d9c0867|0xe3f0d2290fa8afa6d120e9e090ef75244cbadc2b0cc83669d289c758126a481c|0xd8dc80453af3856a9bce2384a08243b1c2cbbdabe6a2786de2a04c6781c34ae5|0xf56889493e2ee9071728078056562341c63793a9cffe4852352a236b8642f26b|0x5b7393268fc1f55d066b532e5872d8746335b1625d3f7c1252d8a19fedd303f6|0x52df1d538aca1242b08834637708b046c15732a9aff3211ce6f6c240a753f41f,"This market will resolve according to the named people who attend Taylor Swift and Travis Kelce's wedding. If no wedding between Taylor Swift and Travis Kelce occurs by December 31, 2026, 11:59PM ET, this market will resolve to ""No"". the resolution source for this market will be photographic or vide",https://polymarket.com/event/who-will-attend-taylor-swift-and-travis-kelces-wedding
will-cardi-b-and-stefon-diggs-get-engaged-in-2026,Will Cardi B and Stefon Diggs get engaged in 2026?,nfl,culture|music|fantasy-football|nfl,2026-12-31T00:00:00Z,224,2026-01-04T19:31:35.032773Z,1,1,0.00,668.54,150.00,306.71,0.865,1,will-cardi-b-and-stefon-diggs-get-engaged-in-2026,0xdb42bb65168f8e0d231c328be1ec0646df09630331631ac92afbaf30a4845d8f,"This market will resolve to ""Yes"" if it is announced that Cardi B and Stefon Diggs are engaged to be married by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"". If it is announced that Cardi B and Stefon Diggs have married, it will qualify for a ""Yes"" resolution. The prim",https://polymarket.com/event/will-cardi-b-and-stefon-diggs-get-engaged-in-2026
pro-football-afc-east-champion,Pro Football: AFC East Champion,nfl,nfl|division|football|afc-east,2027-01-04T00:00:00Z,228,2026-03-02T20:38:07.810041Z,5,5,0.00,1095.93,11045.36,255.44,0.996,0,will-buffalo-bills-win-the-2026-afc-east|will-new-england-patriots-win-the-2026-afc-east|will-new-york-jets-win-the-2026-afc-east|will-miami-dolphins-win-the-2026-afc-east|will-another-team-win-the-2026-afc-east,0x4a2f2a0b4d381c7db4154b10f083fb6143de7b0051757623c6e92b74dc57432e|0x5b8385a6518042266e4310cb74068a57edd8c1a0d52fe5d200ef4ccbc26740fe|0xe569003c7e95dcfeaef4763596b6478dd95cb44d3ea12f73db4c2c63f9349556|0xcff34e73b6fc78da3fe3dffc1cacc0af35835cb9c3cae220c9575ba132462e33|0x87fcdcbac10f522e9490e1995d30c0772241c51090b9027dedeb5f5301eac538,"This market will resolve according to the team that is declared as the AFC East division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, p",https://polymarket.com/event/pro-football-afc-east-champion
pro-football-afc-north-champion,Pro Football: AFC North Champion,nfl,nfl|division|football|afc-north,2027-01-04T00:00:00Z,228,2026-03-02T20:59:46.563823Z,5,5,2070.31,9662.86,15772.10,4736.14,0.996,0,will-cleveland-browns-win-the-2026-afc-north|will-cincinnati-bengals-win-the-2026-afc-north|will-baltimore-ravens-win-the-2026-afc-north|will-pittsburgh-steelers-win-the-2026-afc-north|will-another-team-win-the-2026-afc-north,0x823b60dbfd245942833931cc291d2290c802f549fd3b55ab2102e9ad23413e16|0x779a70f850eaf259358095f62f7fe4ec1563ae23e33af84c92a0599c3f564e0d|0x74472d82bf55db42f9a30e354f92f86d09d39b3cd6b368e3f17c69ebe3d54e44|0xd343ac8afb661672dceda67537546281b2e3f76db481625dfdd7b9be26dc719b|0x0e228b6a2524ea8e984752633ae9c9214fb05b69e394c9e479bed05a0f03175e,"This market will resolve according to the team that is declared as the AFC North division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, ",https://polymarket.com/event/pro-football-afc-north-champion
pro-football-afc-south-champion,Pro Football: AFC South Champion,nfl,division|football|nfl|afc-south,2027-01-04T00:00:00Z,228,2026-03-02T21:03:58.476771Z,5,5,14.71,1252.11,12477.82,175.51,0.987,0,will-houston-texans-win-the-2026-afc-south|will-jacksonville-jaguars-win-the-2026-afc-south|will-another-team-win-the-2026-afc-south|will-indianapolis-colts-win-the-2026-afc-south|will-tennessee-titans-win-the-2026-afc-south,0x51e2f604323d55910ce3db196d0349de1b3457516f4fb4c845db40127222a48f|0x523467bf87aa77871560e2fedec3cca33a0ade81d1dadf6e93cf50bbc7a432a5|0xf83232f5e5fb2aba86c6fd1a5a1634399d6f19da7644a59e34d83a0a61387277|0x54af4c40b9f56eb937115a08e81e6d1edfa51cd4b4780108cccdb94a9ec4c3b5|0x60f9f28cbff2c63b7942217142e010002a71745e0bdbf4dd66feab3158a6852c,"This market will resolve according to the team that is declared as the AFC South division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, ",https://polymarket.com/event/pro-football-afc-south-champion
pro-football-afc-west-champion,Pro Football: AFC West Champion,nfl,nfl|football|afc-west|division,2027-01-04T00:00:00Z,228,2026-03-02T21:03:50.452207Z,5,5,39.30,4907.07,14587.93,798.88,0.969,0,will-denver-broncos-win-the-2026-afc-west|will-las-vegas-raiders-win-the-2026-afc-west|will-other-win-the-2026-afc-west|will-kansas-city-chiefs-win-the-2026-afc-west|will-los-angeles-chargers-win-the-2026-afc-west,0xc157dcb7324b6956deb3e2275ea2c694d850abeabba1db750a7ec1d12a27895b|0x5c1a190e1b2081ded534136e7dfaef58e80d28f559d4215b4225759bc86cae65|0xe7033a0b2ea737b699ccf44946188cd7514b94e05b1b60de911b307484a8347e|0x1e617bcdbf6f79d3d03e505345cd1e2146a9dab1e1c6f941cff145e278d3fe12|0x9a240a568047146e9e67f8fdaa7991c4b5814dddffed33e83e7a9f8aef5a5245,"This market will resolve according to the team that is declared as the AFC West division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, p",https://polymarket.com/event/pro-football-afc-west-champion
pro-football-nfc-east-champion,Pro Football: NFC East Champion,nfl,football|nfl|division|nfc-east,2027-01-04T00:00:00Z,228,2026-03-02T21:03:58.458307Z,5,5,0.00,2449.71,12621.86,500.01,0.983,0,will-dallas-cowboys-win-the-2026-nfc-east|will-philadelphia-eagles-win-the-2026-nfc-east|will-another-team-win-the-2026-nfc-east|will-new-york-giants-win-the-2026-nfc-east|will-washington-commanders-win-the-2026-nfc-east,0xf137b480d9969c45716c067f5702503fce14fda10caa5f0b28919eb6543d9393|0x092217c37b6ae23a7d4aaaa277aa5570adf3043db6e8be4bc348e70b33ba816e|0x845c826a27c4715063e94780e0282ef2d6d871b1f49c16603ade6424e151aa6e|0xa82cb14f2a30bb85faf7cfefde5e2792a64eef16fa5018370cf6b92aaf13ee9a|0xe3d32e7b18873a33ba23d9ef9d07e2dbf188c5e829096a724e9dc8f5acb3fc91,"This market will resolve according to the team that is declared as the NFC East division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, p",https://polymarket.com/event/pro-football-nfc-east-champion
pro-football-nfc-north-champion,Pro Football: NFC North Champion,nfl,division|nfl|football|nfc-north,2027-01-04T00:00:00Z,228,2026-03-02T23:39:45.442345Z,5,5,0.00,3400.03,12429.96,460.47,0.970,0,will-another-team-win-the-2026-nfc-north|will-chicago-bears-win-the-2026-nfc-north|will-detroit-lions-win-the-2026-nfc-north|will-green-bay-packers-win-the-2026-nfc-north|will-minnesota-vikings-win-the-2026-nfc-north,0x75f45bce50b0924eefb77df9666f5b49eb845d0c35e2a3ce70c82738f75f489e|0x27f0a7e03f8e4afc417f74ed532c6216c431ecec27b2a136b5b894007dd46dc6|0x4f9a05553110a4b9836ebbd0302bee725394f8fb14be8574b099280ffbcbe0cb|0xa8deedb9c5becf96d94fbcfc2e1697e8fdc5cf8785b0a145e916483a79b98b45|0xd90ebec0082a990159940d8927f52de8fb5acd269f31a78f1daed5e0b0b707cf,"This market will resolve according to the team that is declared as the NFC North division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, ",https://polymarket.com/event/pro-football-nfc-north-champion
pro-football-nfc-south-champion,Pro Football: NFC South Champion,nfl,division|nfc-south|nfl|football,2027-01-04T00:00:00Z,228,2026-03-02T23:43:52.035499Z,5,5,1321.08,5260.83,15855.27,1722.08,0.965,0,will-carolina-panthers-win-the-2026-nfc-south|will-other-win-the-2026-nfc-south|will-atlanta-falcons-win-the-2026-nfc-south|will-new-orleans-saints-win-the-2026-nfc-south|will-tampa-bay-buccaneers-win-the-2026-nfc-south,0x6a9f85c9a5294b7a0cb591f2f352d8c0b321c33877ffe3e1c060922e94ee84fb|0x7ff0e76da11d0c20aedb176bda7c707c6093c0e98c2292e70763cb2f8c56deda|0xc9cd55df7aaab8ee01938e55d2062c0805399fc8d9f5315c6a35df462dbba6d6|0xd6118440343968bb7dba587482a24e77308f438df8f76077363249248e240ef5|0x2878996ec4e5f5ab35ff934937f1a74186ff1e351d9734b9e70bc6b9d00107eb,"This market will resolve according to the team that is declared as the NFC South division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, ",https://polymarket.com/event/pro-football-nfc-south-champion
pro-football-nfc-west-champion,Pro Football: NFC West Champion  ,nfl,nfl|nfc-west|football|division,2027-01-04T00:00:00Z,228,2026-03-02T23:43:59.562377Z,5,5,0.00,3930.50,11684.61,512.84,0.990,0,will-arizona-cardinals-win-the-2026-nfc-west|will-san-francisco-49ers-win-the-2026-nfc-west|will-another-team-win-the-2026-nfc-west|will-los-angeles-rams-win-the-2026-nfc-west|will-seattle-seahawks-win-the-2026-nfc-west,0xdf1627c20d47787a22d1f848e1121454645794f920ad1ac4190e2586d92442a5|0x22b6c3c4253d8988c6b181b0b1ea2bf06c128a01f599116d0b8b3fe435a39fcb|0x725ad91f905f8aa3ad3dce1dc4948d75f2e95bb666e9c840532fc4a113625318|0x1436bea9d6f5891a35f2dfc1c73a3102ca91c7b464b4fd4e2a937956f13e43f8|0xcc9f029bbc572cbd3ef5dcb2befcc25ee7cbd38ee3c6af7f78fbeb9bafbffe64,"This market will resolve according to the team that is declared as the NFC West division champion for the 2026 NFL regular season. If multiple teams tie atop the division, this market will resolve according to the official tiebreak procedure of the NFL. If the 2026 NFL regular season is cancelled, p",https://polymarket.com/event/pro-football-nfc-west-champion
