event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
flu-hospitalization-rate-week-19-2026,"Flu Hospitalization Rate Week 19, 2026?",science,science|pandemics|rewards-20-4-5-50|weather|influenza|flu,2026-05-22T00:00:00Z,1,2026-05-15T00:02:35.413621Z,6,6,144.68,12101.08,9179.32,5182.02,0.805,0,will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-less-than-80|will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-between-80-and-85|will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-between-85-and-90|will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-between-90-and-95|will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-between-95-and-100|will-the-us-flu-hospitalization-rate-per-100000-in-week-19-be-at-least-100,0xe547ee10f9a207c75641a0239c1c09446c10aef4e4401ac1b7593ff88e8522e1|0x0616e8c9222e6612993ee11e35c6e672986d68fee3f4ee8f9edea302e1bd2614|0x78e54ad1b236a649818257e47966a961715744ec3232248dabc6870337b6a628|0x2da7bd6ee8c591ad05f712213e1c32927d45fd04ac284dc89513bbed829fb4dc|0x679c78c768b450ed103d12af6bf4f69ce7afd4b1e565d8b561c3468524533f1b|0x869eaf74b5e8662a4510b1576c671f2266002b745f9cff6cce2a723bed1a95c0,"This market will resolve according to the cumulative influenza-associated hospitalization rate per 100,000 population for the United States, as reported for the specified week. If the recorded data falls exactly between two brackets, this market will resolve to the higher bracket. The resolution sou",https://polymarket.com/event/flu-hospitalization-rate-week-19-2026
how-many-major-space-weather-events-this-week-may-17-may-23,How many major Space Weather events this week? (May 17 - May 23),science,space|weather|science,2026-05-23T00:00:00Z,2,2026-05-15T22:09:21.097212Z,7,7,11.49,341.56,1646.73,337.46,0.814,0,will-there-be-exactly-1-major-space-weather-event-this-week-515|will-there-be-exactly-3-major-space-weather-events-this-week-825|will-there-be-exactly-5-major-space-weather-events-this-week-864|will-there-be-exactly-0-major-space-weather-events-this-week-536|will-there-be-exactly-2-major-space-weather-events-this-week-629|will-there-be-exactly-4-major-space-weather-events-this-week-835|will-there-be-6-or-more-major-space-weather-events-this-week-346,0x5be2f3c7a617d84cdfaac5aba678f76149d9bbe3b21fdb17750c70f5ac30a57f|0x39be8a0e1539fa81cd72599b492c43d7a7f15dd2cef0bf78074b60e88ec2580f|0xe66ab78e56cd1d44f1e448a71df8e3f81b52fc809a4c0ef53df2f3ff41f0891d|0xf15d8d172c4a4a44399a386ffdee74a2c8f8b01f94382f6e750d7dc8e4ff0e3f|0xfbdaa8e062b85d989396531498991e4dcf76d58cae15b9799a1bcadb99df6cfa|0xf37807ba6b681c08ae2ef562ca3fe742ae9d17e6ec060c6f932fe0b35c6b3b2f|0xaec472208b6922910e1d6642c929b730f0e72103e5ecd20aa2d21d750ccab7f5,"This market will resolve according to the number of geomagnetic storms, solar radiation storms, or radio blackouts with a severity level of 3 or greater which occur between May 17, 2026, 12:00AM ET and May 23, 2026, 11:59PM ET. Otherwise, this market will resolve to ""No"". A G3 event is a geomagnetic",https://polymarket.com/event/how-many-major-space-weather-events-this-week-may-17-may-23
named-storm-forms-before-hurricane-season-197,Named storm forms before hurricane season?,science,natural-disaster|science|hurricane|climate|weather,2026-05-31T00:00:00Z,10,2025-12-04T20:35:15.954088Z,1,1,251.03,342537.11,4520.57,5041.92,0.849,0,named-storm-forms-before-hurricane-season-197,0x3d9534e655c68bd1811bdb721704d7434c6ce214a69043e9e2c4a13c25db33f5,"The 2026 Atlantic hurricane season will take place over a period lasting from June 1 to November 30. This market will resolve to ""Yes"" if NOAA names a storm in the Atlantic between December 4, 2025, and May 31, 2026. Otherwise, this market will resolve to ""No"". The resolution source for this market ",https://polymarket.com/event/named-storm-forms-before-hurricane-season-197
measles-cases-in-us-by-may-31,Measles cases in U.S. by May 31?,science,science|measles|pandemics|weather,2026-05-31T00:00:00Z,10,2026-04-27T21:56:11.705847Z,7,6,3511.94,75634.57,22674.68,27084.31,0.977,0,will-there-be-at-least-2200-measles-cases-in-the-us-by-may-31-2026-286-756-975-169|will-there-be-at-least-2000-measles-cases-in-the-us-by-may-31-2026-483-684-323-237|will-there-be-at-least-2400-measles-cases-in-the-us-by-may-31-2026-186-721-474-844|will-there-be-at-least-1950-measles-cases-in-the-us-by-may-31-2026-678|will-there-be-at-least-1800-measles-cases-in-the-us-by-may-31-2026|will-there-be-at-least-1900-measles-cases-in-the-us-by-may-31-2026|will-there-be-at-least-1925-measles-cases-in-the-us-by-may-31-2026,0x4099154492fe263d61daf66377d25f9a260aa70d00b7aae48d2b2a4463baa29c|0x0d2c9b8bbc81ef294b72a82db21b85dafaab1dbf9f7c1e3aebe531ad7bfc8e2e|0xf810fcc5fef5ecce25c9b73a7bff33c3344f211446d50871f2a97eec53106104|0x62ef8e78d55e53a0587e551b3883659c0f0f390367c15502e5db2290bbe9f845|0x1b1f702d82bbadc8af40465bc1d3b464dace6b27776370b65d256aba33aa7777|0x2784d31c02e64b9ac2ed140fd2e3657018ce6600f8e854adae4b1e409559db15|0x2e3e487328ad7d400320139498d5aa6ea44e8bdbe5c6dd45b84872d7ac4f885a,"This market will resolve to ""Yes"" if there have been the specified amount or more confirmed cases of Measles (Rubeola) in humans in the territory of the United States of America in 2026, according to the CDC case counter by May 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"". The ",https://polymarket.com/event/measles-cases-in-us-by-may-31
precipitation-in-nyc-in-may,Precipitation in NYC in May?,science,precipitation|weather|science,2026-05-31T00:00:00Z,10,2026-04-28T22:22:02.83644Z,6,6,390.63,8182.48,3793.12,1967.84,0.860,0,will-nyc-have-less-than-2-inches-of-precipitation-in-may|will-nyc-have-between-2-and-3-inches-of-precipitation-in-may|will-nyc-have-between-3-and-4-inches-of-precipitation-in-may|will-nyc-have-between-4-and-5-inches-of-precipitation-in-may|will-nyc-have-between-5-and-6-inches-of-precipitation-in-may|will-nyc-have-more-than-6-inches-of-precipitation-in-may,0x329c2eb2cd491487fa5ca8f5b6dbd5e125f73a825535ce55ff00a17699aa8d5c|0x2909f77a47466405424669bb337223cd3e7c62acd2cbbc2c2ca9a977e7f9f51b|0x404e1d11ae235ba626df25dced429b848d8cb741fa72b9635cd9c84e66973d00|0x35f91847f18be8874898e35467b58067ee753ab072665e828a2df190699ad9d4|0xb9d070cf25c7c888913cff0c862c0ad77af3f37a4c0e3cd24d22256541a2a016|0x74473fdfbd2e9e752c92e58f5c478b38f68c817bb4e7981fc3161839ae654f72,"This market will resolve according to the total precipitation in inches in Central Park, New York City between May 1 and May 31, 2026, 11:59PM ET according to the National Oceanic and Atmospheric Administration (NOAA). If the reported value falls exactly between two brackets, then this market will r",https://polymarket.com/event/precipitation-in-nyc-in-may
precipitation-in-seattle-in-may,Precipitation in Seattle in May?,science,weather|science|precipitation,2026-05-31T00:00:00Z,10,2026-04-28T22:22:04.452398Z,7,7,7.50,1402.62,1658.56,876.56,0.815,0,will-seattle-have-less-than-0pt5-inches-of-precipitation-in-may|will-seattle-have-between-0pt5-and-1-inches-of-precipitation-in-may|will-seattle-have-between-1-and-1pt5-inches-of-precipitation-in-may|will-seattle-have-between-1pt5-and-2-inches-of-precipitation-in-may|will-seattle-have-between-2-and-2pt5-inches-of-precipitation-in-may|will-seattle-have-between-2pt5-and-3-inches-of-precipitation-in-may|will-seattle-have-more-than-3-inches-of-precipitation-in-may,0x4e65897edb647b5187f1ad5e948d8551f6440ddb3e068c7ca1671cf4b018b2e5|0x0210504acec9d16133a4bd02831872a40df36e7ef4b8dc40f7bc90416cbacca4|0x317e13d28baae5a4e14229fbb147f04edcb190465b838c70962005cc296053b7|0x19f982e07a64f4cc8da8208e268cf27e6a05b0d91b33a661207523376ba97e3c|0xb7e8fe0b38f79ce74de2c119fde0a484cb70cfb34654e6aa8dec66ad11d4c6bf|0x36b5ebcf6c6257695419e8cc3ee3328f0a1000b57870d471c7a650a3cf1b65eb|0xab6dd61c06b6d65fb4adcc6dcf9aad64ceb4bf8e694dbb78fd9e0f6128277403,"This market will resolve according to the total precipitation in inches in Seattle between May 1 and May 31, 2026, 11:59PM ET according to the National Oceanic and Atmospheric Administration (NOAA). The resolution source for this market will be NOAA, specifically the figure for May 2026 when the ""Mo",https://polymarket.com/event/precipitation-in-seattle-in-may
precipitation-in-london-in-may,Precipitation in London in May?,science,weather|london|england|precipitation|uk|science,2026-05-31T00:00:00Z,10,2026-04-28T22:27:17.586074Z,7,7,1295.32,6137.78,4802.54,2461.86,0.982,0,will-london-have-less-than-5mm-of-precipitation-in-may|will-london-have-between-5-10mm-of-precipitation-in-may|will-london-have-between-10-15mm-of-precipitation-in-may|will-london-have-between-15-20mm-of-precipitation-in-may|will-london-have-between-20-25mm-of-precipitation-in-may|will-london-have-between-25-30mm-of-precipitation-in-may|will-london-have-30mm-or-more-of-precipitation-in-may,0x3ff3d49ab287815f7677ab20f0324381de22517bd07a80eb524dce53ff433130|0x2102900cc23093c1e4b808a2a06839a0839702fcab9dc892b0ba8b7f905cc874|0xe3e0191062e5f8930c2f23f61dd1216139084767799c257a6f15b4426414b41d|0x1f377b1648c0dada9059f5beedb119cf1455c1c94c81947f8c2ff7ac6c3f0cc8|0x95f1ac7dc9ceb7c682529ad7942bdb7efd2b545a754338e99cb0fa323036eba0|0x9653edc0712a5da2d1f4ad71bf8c22680da7333c2496694e22c7fe5a31c89976|0xe1d99b97adc3bb50157d62f578d79912d94d1dc7ec920eae4363ea81a2a8581c,"This market will resolve according to the total precipitation in mm at Heathrow (London Airport) in May, 2026, according to the Met Office. If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. The resolution source for this market will ",https://polymarket.com/event/precipitation-in-london-in-may
precipitation-in-seoul-in-may,Precipitation in Seoul in May?,science,science|weather|precipitation|south-korea|seoul,2026-05-31T00:00:00Z,10,2026-04-28T22:30:25.613132Z,8,8,1262.89,2982.06,4573.77,1295.00,0.942,0,will-seoul-have-less-than-100mm-of-precipitation-in-may|will-seoul-have-between-100-110mm-of-precipitation-in-may|will-seoul-have-between-110-120mm-of-precipitation-in-may|will-seoul-have-between-120-130mm-of-precipitation-in-may|will-seoul-have-between-130-140mm-of-precipitation-in-may|will-seoul-have-between-140-150mm-of-precipitation-in-may|will-seoul-have-between-150-160mm-of-precipitation-in-may|will-seoul-have-160mm-or-more-of-precipitation-in-may,0x0dc1839b198ae3ca3dc3f0c2d623feaff9269bdf9d322d7f7803d82ec5af0251|0x1815fa6f19a9da373572e1d80c2c8047fba149aef406c332dfbdac3053f4c2d3|0x3047f22e4a9bc5a3b02fcbfe250a24d6da287d231d1e56d3d314e11454bc0b2b|0x23646db5b796254f99b167e7ecd778e6438b0d4d36afc5d2be0c7286346f7c4c|0xc9c84e0b87f607df712ea503e64765976c96dfe50d7a84a530a7ecbf26ac963e|0x0bb5c50690837e5539e7cec0068ef37935cd9a352ddf202ac8d70f15c3cb530c|0x6a0bdad376b1e371c7e0f184cc4808f93204e9a2408156e5adb4c2ccdc9d70cc|0xe4bc99510e66ae6833575450cef7b4d247679faf4af8c36786d3e2705d8dc66e,"This market will resolve according to the total precipitation in mm in Seoul in May, 2026, according to the Korea Meteorological Administration's information for the region/branch of ""Seoul"". If the reported value falls exactly between two brackets, then this market will resolve to the higher range ",https://polymarket.com/event/precipitation-in-seoul-in-may
precipitation-in-hong-kong-in-may,Precipitation in Hong Kong in May?,science,science|china|hong-kong|weather|precipitation,2026-05-31T00:00:00Z,10,2026-04-28T22:34:35.87467Z,8,8,1654.64,8194.97,8797.45,2845.35,0.907,0,will-hong-kong-have-less-than-180mm-of-precipitation-in-may|will-hong-kong-have-between-180-190mm-of-precipitation-in-may|will-hong-kong-have-between-190-200mm-of-precipitation-in-may|will-hong-kong-have-between-200-210mm-of-precipitation-in-may|will-hong-kong-have-between-210-220mm-of-precipitation-in-may|will-hong-kong-have-between-220-230mm-of-precipitation-in-may|will-hong-kong-have-between-230-240mm-of-precipitation-in-may|will-hong-kong-have-240mm-or-more-of-precipitation-in-may,0xced14bc4dd9117e1042c4b98351590f3186c6331cb9e38207535cb094998018e|0xc33a64e7e4ccb396a07b99d9beb309354ccbe9be2b795fb0fbe75edf3f91e65a|0x1ddeeac89d9bfd373967e593682648ffed2242acd4745e29f6f37cd1e9e57ac6|0xd31dfffb532b21b77f742639759651d33aa869652e35ae8bfb9d7965a8e55ce3|0x1a2c85bbc78524a1b3876add43d58cdf9e5e435404ba091c67bb9d08e5ffa40e|0x112f51f4ee9cd61349ba5074979291ba023d9765306f35f927505c179a6d224e|0xee19f66ee43815862cbd66d9cdeedf0594515aa8cb3eba28e5f51487f0f4b6e7|0x5665d82505c7bd71cd34b7939f1f6dfa033a5864d03669a9388f48cb62f00fde,"This market will resolve according to the total precipitation in mm in Hong Kong between May 1 and May 31, 2026, according to the Hong Kong Observatory. The resolution source for this market will be the Hong Kong Observatory, specifically the ""Total Rainfall (mm)"" figure for all days in May 2026 und",https://polymarket.com/event/precipitation-in-hong-kong-in-may
how-many-tornadoes-in-the-us-in-may,How many Tornadoes in the US in May?,science,natural-disasters|weather|science|tornadoes,2026-06-08T00:00:00Z,18,2026-04-27T20:42:36.491665Z,9,9,164.06,432.58,1068.29,523.66,0.868,0,will-fewer-than-200-tornadoes-occur-in-the-united-states-in-may-2026|will-200-to-229-tornadoes-occur-in-the-united-states-in-may-2026|will-230-to-259-tornadoes-occur-in-the-united-states-in-may-2026|will-260-to-289-tornadoes-occur-in-the-united-states-in-may-2026|will-290-to-319-tornadoes-occur-in-the-united-states-in-may-2026|will-320-to-349-tornadoes-occur-in-the-united-states-in-may-2026|will-350-to-379-tornadoes-occur-in-the-united-states-in-may-2026|will-380-to-410-tornadoes-occur-in-the-united-states-in-may-2026|will-more-than-410-tornadoes-occur-in-the-united-states-in-may-2026,0x7e4701c8aa45133b4512d89756ffaed7e8027f3b220a0aa12069533feb10e16e|0xa399837780d9caf5ab21e2a9eafdddb08371037395f8a6aa17871b1671592045|0x251a174cdfa31db375509f98ca7d17e6ae25cab456a299cd5c534159e06aba25|0xd8e1587344587e2c032540ed1c8e8f0586d0bd0e5711320abcf9b8564e22a641|0x9da42cb4c4a8e5ac60d4f36cfcf472eea76ddb645f839fb8162c7bce3cd888af|0x417481ef0f951f0152ffe55e9465a7a6bc6621d2fa90bab8e3e9873d72f05db0|0x7c74f5ee883a9d3f8dba35eb7a0bdcf4abb7d3c286457c70fe8fbd6798a07be9|0x7ac6fd64a0410699d7d243bd05658039baa991cc0882fe4dc678ff4045ba30c0|0xc8bf3155ff9fa07ec1dc90e548b11aa1f4cc40a3d5d8ee26bcc59050171adb59,"This market will resolve according to the number of tornadoes recorded in the United States during the specified month, based on the monthly count published on the National Centers for Environmental Information U.S. Tornadoes Time Series page (see: https://www.ncei.noaa.gov/access/monitoring/tornado",https://polymarket.com/event/how-many-tornadoes-in-the-us-in-may
